Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 1325.51 NA 160 0 NA NA NA 376 0 NA NA NA 1775 163 NA NA NA 2411 396 NA NA
1566079200.0 1325.6 NA 181 NA NA NA NA 432 NA NA NA NA 3613 NA NA NA NA 2480 NA NA NA
1566079200.0 1325.7 NA 188 0 NA NA NA 445 0 NA NA NA 3543 143 NA NA NA 2480 339 NA NA
1566079200.0 1325.8 NA 181 0 NA NA NA 423 0 NA NA NA 3533 143 NA NA NA 2369 345 NA NA
1566079200.0 1326.0 NA 160 302 0 NA NA 616 756 0 NA NA 1429 1838 517 NA NA 1206 2232 666 NA
1566079200.0 1328.0 NA 167 310 0 NA NA 642 761 0 NA NA 1552 1983 534 NA NA 1277 2214 797 NA
1566079200.0 1329.0 NA 160 301 0 NA NA 567 757 0 NA NA 1466 1902 530 NA NA 1427 3164 652 NA
1566079200.0 1329.1 NA 168 0 NA NA NA 404 0 NA NA NA 5139 147 NA NA NA 6170 537 NA NA
1566079200.0 133.0 84 114 273 NA NA 285 565 698 NA NA 3952 580 2096 NA NA 1881 907 2273 NA NA
1566079200.0 1330.0 NA 165 348 0 NA NA 645 777 0 NA NA 1542 1953 527 NA NA 1116 1917 765 NA
1566079200.0 1331.0 NA 163 307 0 NA NA 578 719 0 NA NA 1495 1898 517 NA NA 1238 2673 661 NA
1566079200.0 1333.0 NA 160 303 0 NA NA 624 761 0 NA NA 1460 1882 506 NA NA 1664 3925 618 NA
1566079200.0 1334.0 NA 163 309 0 NA NA 596 764 0 NA NA 1482 1902 525 NA NA 1052 2017 680 NA
1566079200.0 1335.0 NA 161 303 0 NA NA 611 736 0 NA NA 1475 1867 517 NA NA 1282 2132 661 NA
1566079200.0 1336.0 NA 169 313 0 NA NA 605 795 0 NA NA 1481 2753 527 NA NA 1410 3539 660 NA
1566079200.0 1337.0 NA 175 323 0 NA NA 621 789 0 NA NA 1594 2493 537 NA NA 1848 2068 1036 NA
1566079200.0 1339.0 NA 168 321 0 NA NA 594 795 0 NA NA 1584 2276 523 NA NA 1502 2142 631 NA
1566079200.0 134.0 NA 297 32 0 NA NA 702 162 0 NA NA 3678 149 87 NA NA 2508 243 176 NA
1566079200.0 134.703 NA 32 348 0 NA NA 171 791 0 NA NA 297 6521 767 NA NA 510 3375 860 NA
1566079200.0 134.71 NA 28 302 0 NA NA 162 751 0 NA NA 271 4506 421 NA NA 447 2723 475 NA
1566079200.0 134.802 NA 30 336 0 NA NA 172 797 0 NA NA 294 7738 727 NA NA 449 3702 797 NA
1566079200.0 134.803 NA 31 335 0 NA NA 175 799 0 NA NA 266 7094 735 NA NA 625 3486 916 NA
1566079200.0 134.804 NA 31 353 0 NA NA 177 796 0 NA NA 270 7772 740 NA NA 516 3708 865 NA
1566079200.0 134.805 NA 33 346 0 NA NA 181 821 0 NA NA 278 7727 754 NA NA 640 4029 967 NA
1566079200.0 134.806 NA 29 345 0 NA NA 173 820 0 NA NA 279 8311 735 NA NA 426 3969 864 NA
1566079200.0 134.807 NA 97 371 0 NA NA 300 809 0 NA NA 1215 8527 894 NA NA 904 4071 1193 NA
1566079200.0 134.808 NA 93 372 0 NA NA 306 871 0 NA NA 1198 8690 819 NA NA 1048 3932 913 NA
1566079200.0 134.809 NA 34 341 0 NA NA 170 799 0 NA NA 296 7325 733 NA NA 547 4000 797 NA
1566079200.0 134.811 NA 30 345 0 NA NA 173 801 0 NA NA 261 7723 732 NA NA 356 3631 803 NA
1566079200.0 134.812 NA 31 315 0 NA NA 171 745 0 NA NA 247 4627 425 NA NA 367 3809 567 NA
1566079200.0 134.813 NA 142 58 0 NA NA 383 202 0 NA NA 1035 272 325 NA NA 1847 678 887 NA
1566079200.0 134.903 NA 31 325 0 NA NA 174 774 0 NA NA 313 5698 735 NA NA 611 3044 943 NA
1566079200.0 134.906 NA 31 334 0 NA NA 173 792 0 NA NA 280 6520 748 NA NA 739 3460 1364 NA
1566079200.0 134.907 NA 98 357 0 NA NA 288 804 0 NA NA 980 6660 785 NA NA 1237 3451 894 NA
1566079200.0 134.912 NA 34 301 0 NA NA 173 782 0 NA NA 276 4495 422 NA NA 514 2562 717 NA
1566079200.0 134.99601 NA 38 342 0 NA NA 172 818 0 NA NA 285 8561 743 NA NA 500 4138 899 NA
1566079200.0 134.99602 NA 30 329 0 NA NA 174 778 0 NA NA 252 5378 723 NA NA 340 2900 872 NA
1566079200.0 134.99603 NA 33 338 0 NA NA 175 814 0 NA NA 269 7108 744 NA NA 536 3534 1326 NA
1566079200.0 1340.0 NA 160 296 0 NA NA 604 725 0 NA NA 1467 1841 516 NA NA 1362 2879 689 NA
1566079200.0 1341.0 NA 171 318 0 NA NA 584 763 0 NA NA 1536 2424 531 NA NA 1027 2629 740 NA
1566079200.0 1343.0 NA 165 310 0 NA NA 621 820 0 NA NA 1480 2033 523 NA NA 831 2093 723 NA
1566079200.0 1344.0 NA 163 311 0 NA NA 603 720 0 NA NA 1460 1980 520 NA NA 1165 2560 590 NA
1566079200.0 1348.0 NA 159 296 0 NA NA 630 750 0 NA NA 1732 1854 510 NA NA 1693 2198 631 NA
1566079200.0 1349.0 NA 161 299 0 NA NA 623 765 0 NA NA 1481 1871 519 NA NA 1603 3174 762 NA
1566079200.0 135.1 312 0 124 NA NA 1007 0 315 NA NA 1449 271 640 NA NA 1505 678 980 NA NA
1566079200.0 135.11 322 0 127 NA NA 1018 0 324 NA NA 1681 271 736 NA NA 1332 395 1085 NA NA
1566079200.0 135.12 308 0 128 NA NA 1000 0 300 NA NA 1385 262 598 NA NA 3661 535 830 NA NA
1566079200.0 135.13 318 0 NA NA NA 1014 0 NA NA NA 1542 311 NA NA NA 1374 443 NA NA NA
1566079200.0 135.2 272 0 124 NA NA 951 0 296 NA NA 1238 251 591 NA NA 1773 572 1353 NA NA
1566079200.0 135.3 268 0 122 NA NA 952 0 300 NA NA 1259 260 597 NA NA 2202 977 1282 NA NA
1566079200.0 135.4 306 0 116 NA NA 1052 0 306 NA NA 1330 263 611 NA NA 1985 533 2017 NA NA
1566079200.0 135.5 307 0 118 NA NA 1001 0 299 NA NA 1343 262 584 NA NA 1779 640 688 NA NA
1566079200.0 135.6 310 0 124 NA NA 998 0 317 NA NA 1457 265 670 NA NA 2399 591 976 NA NA
1566079200.0 135.7 311 0 125 NA NA 997 0 315 NA NA 1366 257 613 NA NA 1757 414 722 NA NA
