Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566162000.0 136.8311 NA 191 0 NA NA NA NA NA 397 0 NA NA NA NA NA 2430 177 NA NA NA NA NA 2870 378 NA NA NA NA
1566162000.0 136.832 NA 105 445 0 NA NA NA NA 263 946 0 NA NA NA NA 707 26844 1000 NA NA NA NA 2371 9438 1156 NA NA NA
1566162000.0 136.833 NA 105 403 0 NA NA NA NA 267 887 0 NA NA NA NA 702 23388 1013 NA NA NA NA 647 8014 1114 NA NA NA
1566162000.0 136.834 NA 109 417 0 NA NA NA NA 262 908 0 NA NA NA NA 690 23194 1012 NA NA NA NA 1084 7983 1242 NA NA NA
1566162000.0 136.836 NA 105 437 0 NA NA NA NA 263 968 0 NA NA NA NA 721 24132 1014 NA NA NA NA 1334 8641 1246 NA NA NA
1566162000.0 136.838 NA 109 414 0 NA NA NA NA 262 828 0 NA NA NA NA 910 22477 1003 NA NA NA NA 2017 8485 1570 NA NA NA
1566162000.0 136.839 NA 115 333 0 NA NA NA NA 269 806 0 NA NA NA NA 670 3213 761 NA NA NA NA 1800 3857 966 NA NA NA
1566162000.0 136.8391 NA 148 410 0 NA NA NA NA 349 868 0 NA NA NA NA 2275 19526 853 NA NA NA NA 6412 7310 1212 NA NA NA
1566162000.0 136.842 NA 110 453 0 NA NA NA NA 268 889 0 NA NA NA NA 751 24035 994 NA NA NA NA 862 8455 1230 NA NA NA
1566162000.0 136.843 NA 107 424 0 NA NA NA NA 267 959 0 NA NA NA NA 686 28179 1013 NA NA NA NA 3807 10313 2001 NA NA NA
1566162000.0 136.844 NA 110 399 0 NA NA NA NA 267 844 0 NA NA NA NA 729 15972 825 NA NA NA NA 800 5936 974 NA NA NA
1566162000.0 136.848 NA 104 409 0 NA NA NA NA 268 904 0 NA NA NA NA 769 23531 997 NA NA NA NA 1661 8336 1206 NA NA NA
1566162000.0 136.8501 NA 106 402 0 NA NA NA NA 260 845 0 NA NA NA NA 624 19706 981 NA NA NA NA 1627 8465 1230 NA NA NA
1566162000.0 136.852 NA 118 459 0 NA NA NA NA 257 933 0 NA NA NA NA 542 17638 965 NA NA NA NA 827 7765 1134 NA NA NA
1566162000.0 136.8521 NA 184 0 NA NA NA NA NA 401 0 NA NA NA NA NA 2545 164 NA NA NA NA NA 2648 494 NA NA NA NA
1566162000.0 136.854 NA 118 416 0 NA NA NA NA 267 874 0 NA NA NA NA 602 16524 948 NA NA NA NA 897 6955 1300 NA NA NA
1566162000.0 136.856 NA 113 451 0 NA NA NA NA 267 806 0 NA NA NA NA 481 10924 1110 NA NA NA NA 625 6172 1265 NA NA NA
1566162000.0 136.858 NA 114 330 0 NA NA NA NA 269 798 0 NA NA NA NA 580 3221 778 NA NA NA NA 1417 3592 1009 NA NA NA
1566162000.0 136.86 NA 118 404 0 NA NA NA NA 263 801 0 NA NA NA NA 629 15226 942 NA NA NA NA 897 6326 1067 NA NA NA
1566162000.0 136.862 NA 110 485 0 NA NA NA NA 259 948 0 NA NA NA NA 651 22844 1017 NA NA NA NA 950 8504 1122 NA NA NA
1566162000.0 136.864 NA 104 432 0 NA NA NA NA 256 954 0 NA NA NA NA 684 23989 1057 NA NA NA NA 2048 8356 1153 NA NA NA
1566162000.0 136.8642 NA 102 440 0 NA NA NA NA 259 941 0 NA NA NA NA 688 24245 1048 NA NA NA NA 1163 8850 1157 NA NA NA
1566162000.0 136.8643 NA 102 437 0 NA NA NA NA 260 938 0 NA NA NA NA 669 24214 1091 NA NA NA NA 913 8873 1606 NA NA NA
1566162000.0 136.865 NA 105 442 0 NA NA NA NA 264 957 0 NA NA NA NA 696 23869 1065 NA NA NA NA 4664 8405 1217 NA NA NA
1566162000.0 136.869 NA 104 423 0 NA NA NA NA 268 845 0 NA NA NA NA 823 22327 1046 NA NA NA NA 1485 7845 1307 NA NA NA
1566162000.0 136.87 NA 116 340 0 NA NA NA NA 280 788 0 NA NA NA NA 638 3437 835 NA NA NA NA 1075 2746 1146 NA NA NA
1566162000.0 136.871 NA 104 433 0 NA NA NA NA 265 877 0 NA NA NA NA 638 26881 1068 NA NA NA NA 1272 9755 1228 NA NA NA
1566162000.0 136.872 NA 108 414 0 NA NA NA NA 261 841 0 NA NA NA NA 754 22925 1112 NA NA NA NA 930 8465 2842 NA NA NA
1566162000.0 136.881 NA 104 401 0 NA NA NA NA 268 831 0 NA NA NA NA 791 17615 1074 NA NA NA NA 1176 7262 1310 NA NA NA
1566162000.0 136.882 NA 116 369 0 NA NA NA NA 272 823 0 NA NA NA NA 681 4393 859 NA NA NA NA 845 3783 1227 NA NA NA
1566162000.0 136.883 NA 102 436 0 NA NA NA NA 264 947 0 NA NA NA NA 612 22991 1080 NA NA NA NA 571 8559 1297 NA NA NA
1566162000.0 136.898 NA 111 407 0 NA NA NA NA 259 913 0 NA NA NA NA 706 21282 1081 NA NA NA NA 917 8891 1336 NA NA NA
1566162000.0 1361.18 66 202 339 0 NA NA NA 220 668 788 0 NA NA NA 5453 2887 2450 951 NA NA NA 4675 1782 3249 1076 NA NA NA
1566162000.0 1362.18 66 204 336 0 NA NA NA 220 615 780 0 NA NA NA 9883 2870 2541 957 NA NA NA 6552 1504 3375 1273 NA NA NA
1566162000.0 1363.18 70 206 335 0 NA NA NA 228 686 738 0 NA NA NA 9181 2833 2523 969 NA NA NA 6354 1734 3519 1416 NA NA NA
1566162000.0 1364.0 NA 181 319 0 NA NA NA NA 546 765 0 NA NA NA NA 1618 1883 573 NA NA NA NA 1180 2686 938 NA NA NA
1566162000.0 137.8 NA 106 450 NA 112 434 0 NA 256 964 NA 258 967 0 NA 565 19009 NA 556 19832 1595 NA 470 7020 NA 452 7142 1682
1566162000.0 1370.17 23 78 223 339 0 NA NA 108 224 667 740 0 NA NA 66 3060 2510 2601 960 NA NA 199 1899 1186 3735 1164 NA NA
1566162000.0 1370.18 19 67 202 326 0 NA NA 107 224 626 780 0 NA NA 64 2715 2851 2434 933 NA NA 304 2439 1706 3463 1243 NA NA
1566162000.0 138.1 NA 196 56 0 NA NA NA NA 466 201 0 NA NA NA NA 1396 275 435 NA NA NA NA 2008 878 1016 NA NA NA
1566162000.0 139901.0 NA 174 321 0 NA NA NA NA 617 731 0 NA NA NA NA 1600 2020 536 NA NA NA NA 1324 3015 792 NA NA NA
1566162000.0 139902.0 NA 183 326 0 NA NA NA NA 590 737 0 NA NA NA NA 956 2190 554 NA NA NA NA 924 2997 676 NA NA NA
