Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560848400.0 1335.0 NA 68 NA NA NA NA 149 NA NA NA NA 499 NA NA NA NA 638 NA NA NA
1560848400.0 1336.0 NA 100 300 0 NA NA 178 362 0 NA NA 1290 4529 1236 NA NA 1411 4655 1307 NA
1560848400.0 1337.0 NA 107 309 0 NA NA 185 372 0 NA NA 1245 3767 1356 NA NA 1359 3991 1396 NA
1560848400.0 1339.0 NA 104 305 0 NA NA 179 362 0 NA NA 1111 4983 1240 NA NA 1203 5198 1270 NA
1560848400.0 134.0 NA 271 44 0 NA NA 362 75 0 NA NA 6345 321 144 NA NA 6683 357 170 NA
1560848400.0 134.703 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.706 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.707 NA 37 280 0 NA NA 113 334 0 NA NA 612 11234 1231 NA NA 739 11381 1268 NA
1560848400.0 134.709 NA 39 453 0 NA NA 112 510 0 NA NA 637 13807 1341 NA NA 871 13975 1381 NA
1560848400.0 134.801 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.802 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.803 NA 35 281 0 NA NA 113 336 0 NA NA 727 13312 1276 NA NA 916 13465 1307 NA
1560848400.0 134.804 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.805 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.806 NA 33 0 NA NA NA 111 0 NA NA NA 735 0 NA NA NA 927 0 NA NA
1560848400.0 134.807 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.808 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.809 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.81 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.813 NA 144 71 0 NA NA 220 102 0 NA NA 2901 459 596 NA NA 3137 523 637 NA
1560848400.0 134.901 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.904 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.906 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.907 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.908 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.99601 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 134.99603 NA 34 280 0 NA NA 113 336 0 NA NA 709 13611 1462 NA NA 832 13767 1512 NA
1560848400.0 1340.0 NA 93 297 0 NA NA 176 353 0 NA NA 1085 3301 1664 NA NA 1350 3436 1731 NA
1560848400.0 1341.0 NA 106 304 0 NA NA 184 372 0 NA NA 1390 3727 1356 NA NA 1893 3879 1393 NA
1560848400.0 1343.0 NA 97 301 0 NA NA 176 359 0 NA NA 1266 3848 1376 NA NA 1728 3998 1420 NA
1560848400.0 1344.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 1345.0 NA 74 NA NA NA NA 154 NA NA NA NA 484 NA NA NA NA 681 NA NA NA
1560848400.0 1348.0 NA 96 298 0 NA NA 176 354 0 NA NA 1131 3232 1562 NA NA 1518 3375 1611 NA
1560848400.0 1349.0 NA 98 303 0 NA NA 176 355 0 NA NA 925 3693 1736 NA NA 1006 4092 1809 NA
1560848400.0 135.1 252 0 124 NA NA 307 0 164 NA NA 1815 554 1156 NA NA 1923 587 1475 NA NA
1560848400.0 135.11 256 0 123 NA NA 307 0 164 NA NA 2350 486 1453 NA NA 2576 531 1547 NA NA
1560848400.0 135.12 252 0 123 NA NA 307 0 164 NA NA 1729 434 918 NA NA 1840 469 1194 NA NA
1560848400.0 135.13 240 0 NA NA NA 293 0 NA NA NA 2691 752 NA NA NA 3205 817 NA NA NA
1560848400.0 135.2 255 0 122 NA NA 307 0 163 NA NA 1624 430 1139 NA NA 1757 464 1395 NA NA
1560848400.0 135.3 257 0 122 NA NA 307 0 163 NA NA 1559 392 1120 NA NA 1782 421 1241 NA NA
1560848400.0 135.4 254 0 124 NA NA 307 0 163 NA NA 2007 522 917 NA NA 2107 601 987 NA NA
1560848400.0 135.5 255 0 124 NA NA 307 0 163 NA NA 1909 488 929 NA NA 2020 528 1062 NA NA
1560848400.0 135.6 258 0 122 NA NA 307 0 164 NA NA 2404 499 1263 NA NA 2557 529 1353 NA NA
1560848400.0 135.7 251 0 122 NA NA 307 0 163 NA NA 1860 416 925 NA NA 1968 541 1014 NA NA
1560848400.0 135.8 94 NA NA NA NA 135 NA NA NA NA 691 NA NA NA NA 843 NA NA NA NA
1560848400.0 135.9 249 0 119 NA NA 308 0 163 NA NA 1662 442 1095 NA NA 1769 475 1218 NA NA
1560848400.0 1350.0 NA 98 297 0 NA NA 176 355 0 NA NA 1154 3534 1201 NA NA 1603 3686 1284 NA
1560848400.0 1351.0 NA 97 303 0 NA NA 176 355 0 NA NA 1162 3381 1269 NA NA 1649 3556 1335 NA
1560848400.0 1352.0 NA 97 300 0 NA NA 177 355 0 NA NA 1026 3525 0 NA NA 1129 3733 0 NA
1560848400.0 1353.0 NA 98 303 0 NA NA 178 359 0 NA NA 1211 3143 1453 NA NA 1381 3593 1495 NA
1560848400.0 1354.0 NA 97 302 0 NA NA 179 360 0 NA NA 1110 4012 1414 NA NA 1235 4180 1456 NA
1560848400.0 1355.0 NA 102 303 0 NA NA 178 359 0 NA NA 1261 3974 1357 NA NA 1380 4127 1404 NA
1560848400.0 136.721 NA 68 285 0 NA NA 145 339 0 NA NA 1424 15003 1425 NA NA 1744 15552 1470 NA
1560848400.0 136.722 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 136.723 NA 65 NA NA NA NA 143 NA NA NA NA 1565 NA NA NA NA 1877 NA NA NA
1560848400.0 136.724 NA 66 325 0 NA NA 145 379 0 NA NA 1517 17950 1613 NA NA 2028 18307 1665 NA
1560848400.0 136.725 NA 66 354 0 NA NA 144 408 0 NA NA 1419 19258 1605 NA NA 1812 19423 1659 NA
1560848400.0 136.726 NA 67 292 0 NA NA 145 346 0 NA NA 1560 17100 1456 NA NA 1870 17646 1509 NA
1560848400.0 136.727 NA 154 312 0 NA NA 229 363 0 NA NA 4004 21357 1460 NA NA 4334 21685 1502 NA
1560848400.0 136.728 NA 156 308 0 NA NA 230 363 0 NA NA 4604 18565 1487 NA NA 5566 18788 1549 NA
