Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1566079200.0 1325.8 NA 170 0 NA NA NA NA NA NA 240 0 NA NA NA NA NA NA 2410 121 NA NA NA NA NA NA 4328 226 NA NA NA NA NA
1566079200.0 1329.0 NA 106 558 0 NA NA NA NA NA 387 685 0 NA NA NA NA NA 444 1521 609 NA NA NA NA NA 652 2662 1139 NA NA NA NA
1566079200.0 133.0 102 96 421 NA NA NA NA NA 188 368 548 NA NA NA NA NA 4740 496 1656 NA NA NA NA NA 2302 500 1823 NA NA NA NA NA
1566079200.0 1330.0 NA 107 563 0 NA NA NA NA NA 394 681 0 NA NA NA NA NA 471 1536 566 NA NA NA NA NA 985 2188 646 NA NA NA NA
1566079200.0 1331.0 NA 110 563 0 NA NA NA NA NA 378 683 0 NA NA NA NA NA 457 1551 603 NA NA NA NA NA 612 2904 1035 NA NA NA NA
1566079200.0 1333.0 NA 106 560 0 NA NA NA NA NA 386 666 0 NA NA NA NA NA 598 1483 596 NA NA NA NA NA 1098 1708 2127 NA NA NA NA
1566079200.0 1334.0 NA 111 562 0 NA NA NA NA NA 385 689 0 NA NA NA NA NA 537 1644 569 NA NA NA NA NA 1500 1883 683 NA NA NA NA
1566079200.0 1338.0 NA 116 566 0 NA NA NA NA NA 386 674 0 NA NA NA NA NA 514 1701 570 NA NA NA NA NA 648 1998 662 NA NA NA NA
1566079200.0 134.813 NA 187 69 0 NA NA NA NA NA 272 110 0 NA NA NA NA NA 853 195 224 NA NA NA NA NA 1079 325 347 NA NA NA NA
1566079200.0 1343.0 NA 110 563 0 NA NA NA NA NA 386 672 0 NA NA NA NA NA 509 1600 570 NA NA NA NA NA 980 2173 672 NA NA NA NA
1566079200.0 1345.0 NA 106 567 0 NA NA NA NA NA 385 683 0 NA NA NA NA NA 563 1589 565 NA NA NA NA NA 1141 2394 644 NA NA NA NA
1566079200.0 1348.0 NA 112 561 0 NA NA NA NA NA 386 681 0 NA NA NA NA NA 473 1496 566 NA NA NA NA NA 583 1630 640 NA NA NA NA
1566079200.0 135.1 369 0 140 NA NA NA NA NA 520 0 215 NA NA NA NA NA 1206 252 647 NA NA NA NA NA 1187 371 914 NA NA NA NA NA
1566079200.0 135.12 374 0 141 NA NA NA NA NA 512 0 210 NA NA NA NA NA 981 263 568 NA NA NA NA NA 1654 745 717 NA NA NA NA NA
1566079200.0 135.2 286 0 134 NA NA NA NA NA 515 0 211 NA NA NA NA NA 932 219 555 NA NA NA NA NA 1321 426 713 NA NA NA NA NA
