Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566205200.0 1329.1 NA 197 0 NA NA NA NA 297 0 NA NA NA NA 7227 266 NA NA NA NA 9153 1007 NA NA NA
1566205200.0 133.0 100 109 295 NA NA NA 213 580 436 NA NA NA 4392 556 2726 NA NA NA 3072 490 3394 NA NA NA
1566205200.0 1330.0 NA 128 340 0 NA NA NA 562 478 0 NA NA NA 1227 3741 1482 NA NA NA 1458 4983 2208 NA NA
1566205200.0 1331.0 NA 136 336 0 NA NA NA 563 496 0 NA NA NA 1063 3589 1403 NA NA NA 762 5055 1943 NA NA
1566205200.0 1332.0 NA 136 337 0 NA NA NA 518 487 0 NA NA NA 1272 3505 1417 NA NA NA 1153 4048 2131 NA NA
1566205200.0 1334.0 NA 131 344 0 NA NA NA 563 476 0 NA NA NA 1037 3902 1510 NA NA NA 1213 4292 2319 NA NA
1566205200.0 134.0 NA 312 46 0 NA NA NA 446 89 0 NA NA NA 3512 136 90 NA NA NA 3465 317 251 NA NA
1566205200.0 134.701 NA 39 337 0 NA NA NA 98 497 0 NA NA NA 257 4898 665 NA NA NA 414 3245 781 NA NA
1566205200.0 134.702 NA 37 325 0 NA NA NA 103 453 0 NA NA NA 423 9911 1241 NA NA NA 707 6807 1587 NA NA
1566205200.0 134.704 NA 46 332 0 NA NA NA 108 487 0 NA NA NA 396 8755 1263 NA NA NA 606 4741 1630 NA NA
1566205200.0 134.707 NA 41 321 0 NA NA NA 107 464 0 NA NA NA 391 9630 1144 NA NA NA 513 5770 1402 NA NA
1566205200.0 134.709 NA 42 509 0 NA NA NA 103 712 0 NA NA NA 383 10069 1250 NA NA NA 528 6774 1567 NA NA
1566205200.0 134.71 NA 35 312 0 NA NA NA 100 455 0 NA NA NA 382 7526 1224 NA NA NA 541 6634 1811 NA NA
1566205200.0 134.801 NA 39 326 0 NA NA NA 107 472 0 NA NA NA 448 7756 1125 NA NA NA 593 5452 1365 NA NA
1566205200.0 134.812 NA 38 330 0 NA NA NA 98 445 0 NA NA NA 244 4769 695 NA NA NA 406 2995 883 NA NA
1566205200.0 134.813 NA 167 68 0 NA NA NA 272 114 0 NA NA NA 887 191 356 NA NA NA 1144 316 453 NA NA
1566205200.0 134.901 NA 40 317 0 NA NA NA 101 455 0 NA NA NA 380 8051 1353 NA NA NA 551 6715 1922 NA NA
1566205200.0 134.902 NA 36 326 0 NA NA NA 113 468 0 NA NA NA 475 9058 904 NA NA NA 667 5907 984 NA NA
1566205200.0 134.903 NA 38 318 0 NA NA NA 106 450 0 NA NA NA 457 8719 1242 NA NA NA 676 5637 1564 NA NA
1566205200.0 134.905 NA 35 323 0 NA NA NA 110 471 0 NA NA NA 480 8381 974 NA NA NA 666 5724 1151 NA NA
1566205200.0 134.906 NA 40 328 0 NA NA NA 107 468 0 NA NA NA 506 9392 1247 NA NA NA 786 5803 1615 NA NA
1566205200.0 134.91 NA 39 320 0 NA NA NA 113 450 0 NA NA NA 486 7998 645 NA NA NA 632 5869 679 NA NA
1566205200.0 134.911 NA 36 322 0 NA NA NA 114 468 0 NA NA NA 477 8553 1240 NA NA NA 672 6623 1537 NA NA
1566205200.0 134.912 NA 35 311 0 NA NA NA 107 445 0 NA NA NA 398 7367 1362 NA NA NA 626 6349 2035 NA NA
1566205200.0 134.99602 NA 41 330 0 NA NA NA 108 484 0 NA NA NA 399 7454 1205 NA NA NA 575 4339 1541 NA NA
1566205200.0 134.99901 NA 40 319 0 NA NA NA 110 460 0 NA NA NA 414 8521 1187 NA NA NA 565 6093 1473 NA NA
1566205200.0 1340.0 NA 138 330 0 NA NA NA 565 478 0 NA NA NA 754 2266 771 NA NA NA 652 4302 950 NA NA
1566205200.0 1341.0 NA 141 345 0 NA NA NA 517 483 0 NA NA NA 1316 4552 1451 NA NA NA 1579 5488 1786 NA NA
1566205200.0 1344.0 NA 131 330 0 NA NA NA 518 473 0 NA NA NA 1159 3692 1527 NA NA NA 1284 4973 2248 NA NA
1566205200.0 1345.0 NA 132 339 0 NA NA NA 472 479 0 NA NA NA 1145 3819 1358 NA NA NA 951 4386 2067 NA NA
1566205200.0 1347.0 NA 134 333 0 NA NA NA 607 475 0 NA NA NA 883 3554 1497 NA NA NA 1145 4176 1813 NA NA
1566205200.0 1349.0 NA 130 341 0 NA NA NA 518 506 0 NA NA NA 1269 3655 1442 NA NA NA 848 4796 1986 NA NA
1566205200.0 135.1 341 0 133 NA NA NA 645 0 211 NA NA NA 1073 288 972 NA NA NA 1109 499 1211 NA NA NA
1566205200.0 135.11 321 0 133 NA NA NA 705 0 205 NA NA NA 1555 264 1095 NA NA NA 1262 414 1567 NA NA NA
1566205200.0 135.12 333 0 131 NA NA NA 686 0 200 NA NA NA 1547 286 957 NA NA NA 2101 431 1355 NA NA NA
1566205200.0 135.13 334 0 NA NA NA NA 725 0 NA NA NA NA 1206 269 NA NA NA NA 1179 374 NA NA NA NA
1566205200.0 135.2 265 0 131 NA NA NA 702 0 202 NA NA NA 948 273 962 NA NA NA 1121 474 1686 NA NA NA
1566205200.0 135.3 266 0 128 NA NA NA 706 0 207 NA NA NA 927 238 1136 NA NA NA 1116 335 2103 NA NA NA
1566205200.0 135.4 335 0 134 NA NA NA 686 0 208 NA NA NA 1006 319 1009 NA NA NA 1160 496 1332 NA NA NA
1566205200.0 135.5 336 0 132 NA NA NA 699 0 207 NA NA NA 964 323 1042 NA NA NA 1003 614 1337 NA NA NA
1566205200.0 135.6 331 0 141 NA NA NA 702 0 206 NA NA NA 1262 275 974 NA NA NA 1204 410 1359 NA NA NA
1566205200.0 135.7 312 0 133 NA NA NA 704 0 207 NA NA NA 1436 262 928 NA NA NA 1858 427 1135 NA NA NA
1566205200.0 135.8 156 NA NA NA NA NA 272 NA NA NA NA NA 535 NA NA NA NA NA 847 NA NA NA NA NA
1566205200.0 135.9 327 0 135 NA NA NA 685 0 218 NA NA NA 1021 300 964 NA NA NA 1208 577 1401 NA NA NA
1566205200.0 1351.0 NA 130 333 0 NA NA NA 519 474 0 NA NA NA 1150 3571 1481 NA NA NA 1052 4071 2258 NA NA
1566205200.0 1352.0 NA 130 338 0 NA NA NA 561 488 0 NA NA NA 1181 3846 1432 NA NA NA 824 5291 2086 NA NA
1566205200.0 1355.0 NA 130 332 0 NA NA NA 519 475 0 NA NA NA 1156 3737 1464 NA NA NA 1395 4889 1822 NA NA
1566205200.0 1356.0 92 129 372 0 148 NA 170 499 486 0 221 NA 4034 1065 2126 844 824 NA 1949 766 1995 890 853 NA
1566205200.0 136.729 NA 85 349 0 NA NA NA 148 488 0 NA NA NA 686 9861 992 NA NA NA 1309 5904 1167 NA NA
1566205200.0 136.733 NA 186 79 0 NA NA NA 291 124 0 NA NA NA 998 332 361 NA NA NA 911 430 503 NA NA
1566205200.0 136.736 NA 83 355 0 NA NA NA 157 539 0 NA NA NA 1010 18165 1430 NA NA NA 1674 8477 1874 NA NA
1566205200.0 136.737 NA 86 414 0 NA NA NA 153 593 0 NA NA NA 816 18614 1443 NA NA NA 1060 8376 1567 NA NA
1566205200.0 136.738 NA 83 344 0 NA NA NA 159 515 0 NA NA NA 1202 20279 1550 NA NA NA 1798 9229 2071 NA NA
1566205200.0 136.739 NA 90 372 0 NA NA NA 157 574 0 NA NA NA 942 23294 1471 NA NA NA 1185 10297 1816 NA NA
1566205200.0 136.741 NA 82 352 0 NA NA NA 158 548 0 NA NA NA 1087 20558 1418 NA NA NA 1659 9368 2182 NA NA
1566205200.0 136.742 NA 88 350 0 NA NA NA 155 523 0 NA NA NA 893 19702 1647 NA NA NA 1243 9993 2540 NA NA
1566205200.0 136.744 NA 82 417 0 NA NA NA 157 619 0 NA NA NA 993 20537 1428 NA NA NA 1635 9863 1950 NA NA
1566205200.0 136.745 NA 84 349 0 NA NA NA 163 497 0 NA NA NA 799 14900 1512 NA NA NA 1289 7372 1957 NA NA
