Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566162000.0 136.779 NA 86 328 0 NA NA NA 157 707 0 NA NA NA 871 18967 1053 NA NA NA 638 8799 1281 NA NA
1566162000.0 136.78 NA 114 397 0 NA NA NA 192 719 0 NA NA NA 900 27158 1340 NA NA NA 1722 14479 1429 NA NA
1566162000.0 136.7801 NA 101 0 NA NA NA NA 171 0 NA NA NA NA 491 279 NA NA NA NA 1817 650 NA NA NA
1566162000.0 136.7802 NA 65 0 NA NA NA NA 144 0 NA NA NA NA 350 185 NA NA NA NA 1473 586 NA NA NA
1566162000.0 136.7803 NA 97 0 NA NA NA NA 195 0 NA NA NA NA 696 242 NA NA NA NA 1700 546 NA NA NA
1566162000.0 136.781 NA 98 389 0 NA NA NA 178 699 0 NA NA NA 782 18118 903 NA NA NA 1553 7835 1137 NA NA
1566162000.0 136.782 NA 101 405 0 NA NA NA 188 750 0 NA NA NA 821 19466 1085 NA NA NA 923 7324 1355 NA NA
1566162000.0 136.783 NA 99 403 0 NA NA NA 187 722 0 NA NA NA 660 21428 924 NA NA NA 1468 7689 1142 NA NA
1566162000.0 136.784 NA 113 399 0 NA NA NA 185 765 0 NA NA NA 765 28933 1293 NA NA NA 1439 14946 1776 NA NA
1566162000.0 136.785 NA 103 398 0 NA NA NA 188 683 0 NA NA NA 750 19538 916 NA NA NA 1001 7244 1129 NA NA
1566162000.0 136.786 NA 99 376 0 NA NA NA 185 761 0 NA NA NA 614 18742 896 NA NA NA 1348 7682 1093 NA NA
1566162000.0 136.787 NA 104 443 0 NA NA NA 183 847 0 NA NA NA 686 17546 908 NA NA NA 973 7223 1115 NA NA
1566162000.0 136.788 NA 102 403 0 NA NA NA 189 787 0 NA NA NA 589 19895 857 NA NA NA 1056 7868 1236 NA NA
1566162000.0 136.789 NA 112 415 0 NA NA NA 190 667 0 NA NA NA 795 26306 1299 NA NA NA 1722 13949 2303 NA NA
1566162000.0 136.79 NA 109 375 0 NA NA NA 187 641 0 NA NA NA 778 17547 1312 NA NA NA 657 9129 1447 NA NA
1566162000.0 136.791 NA 112 319 0 NA NA NA 197 606 0 NA NA NA 877 4208 843 NA NA NA 2048 6286 1405 NA NA
1566162000.0 136.792 NA 116 403 0 NA NA NA 192 658 0 NA NA NA 900 23554 1795 NA NA NA 1178 11574 2106 NA NA
1566162000.0 136.793 NA 108 421 0 NA NA NA 190 745 0 NA NA NA 820 18257 1048 NA NA NA 2467 8792 1464 NA NA
1566162000.0 136.794 NA 112 404 0 NA NA NA 192 690 0 NA NA NA 947 24663 1816 NA NA NA 998 11572 2415 NA NA
