Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566079200.0 1321.0 NA 157 296 0 NA NA NA NA 468 651 0 NA NA NA NA 1565 2330 794 NA NA NA NA 1625 2349 950 NA NA NA
1566079200.0 1322.0 NA 157 304 0 NA NA NA NA 540 611 0 NA NA NA NA 1583 2388 785 NA NA NA NA 1334 3017 916 NA NA NA
1566079200.0 1323.0 NA 164 300 0 NA NA NA NA 510 622 0 NA NA NA NA 1106 2152 1024 NA NA NA NA 1055 3102 1801 NA NA NA
1566079200.0 1324.0 NA 175 321 0 NA NA NA NA 523 619 0 NA NA NA NA 2082 2352 971 NA NA NA NA 2497 3168 1540 NA NA NA
1566079200.0 1325.0 NA 164 313 0 70 NA NA NA 491 617 0 134 NA NA NA 1435 2308 799 461 NA NA NA 657 2237 838 471 NA NA
1566079200.0 1325.1 NA 165 153 0 NA NA NA NA 479 254 0 NA NA NA NA 1994 1117 688 NA NA NA NA 2670 4193 1932 NA NA NA
1566079200.0 1325.2 NA 164 305 0 NA NA NA NA 466 626 0 NA NA NA NA 1674 2513 884 NA NA NA NA 1110 2441 1941 NA NA NA
1566079200.0 1325.3 NA 162 148 0 NA NA NA NA 479 259 0 NA NA NA NA 1763 1052 727 NA NA NA NA 3865 3235 2701 NA NA NA
1566079200.0 1325.4 NA 164 310 0 NA NA NA NA 512 625 0 NA NA NA NA 1768 2549 886 NA NA NA NA 1188 2502 1143 NA NA NA
1566079200.0 1325.5 NA 169 0 NA NA NA NA NA 297 0 NA NA NA NA NA 5155 205 NA NA NA NA NA 7138 538 NA NA NA NA
1566079200.0 1325.51 NA 158 0 NA NA NA NA NA 280 0 NA NA NA NA NA 2064 189 NA NA NA NA NA 2638 691 NA NA NA NA
1566079200.0 1325.6 NA 176 NA NA NA NA NA NA 346 NA NA NA NA NA NA 3917 NA NA NA NA NA NA 4178 NA NA NA NA NA
1566079200.0 1325.7 NA 178 0 NA NA NA NA NA 341 0 NA NA NA NA NA 5394 213 NA NA NA NA NA 6282 1238 NA NA NA NA
1566079200.0 1325.8 NA 181 0 NA NA NA NA NA 329 0 NA NA NA NA NA 5287 235 NA NA NA NA NA 8049 1034 NA NA NA NA
1566079200.0 1326.0 NA 162 303 0 NA NA NA NA 519 635 0 NA NA NA NA 1600 2368 854 NA NA NA NA 1265 2694 1018 NA NA NA
1566079200.0 1327.0 NA 161 299 0 NA NA NA NA 520 625 0 NA NA NA NA 1630 2344 839 NA NA NA NA 1150 2422 1089 NA NA NA
1566079200.0 1328.0 NA 164 305 0 NA NA NA NA 442 613 0 NA NA NA NA 1629 2518 867 NA NA NA NA 1831 3645 956 NA NA NA
1566079200.0 1329.0 NA 159 301 0 NA NA NA NA 479 638 0 NA NA NA NA 1552 2382 841 NA NA NA NA 2017 3244 927 NA NA NA
1566079200.0 1329.1 NA 176 0 NA NA NA NA NA 320 0 NA NA NA NA NA 6132 175 NA NA NA NA NA 7807 578 NA NA NA NA
1566079200.0 133.0 78 104 277 NA NA NA NA 190 395 611 NA NA NA NA 3938 697 2563 NA NA NA NA 2023 1004 2401 NA NA NA NA
1566079200.0 1331.0 NA 161 305 0 NA NA NA NA 536 658 0 NA NA NA NA 1568 2357 859 NA NA NA NA 1256 2673 1345 NA NA NA
1566079200.0 1334.0 NA 172 322 0 NA NA NA NA 482 671 0 NA NA NA NA 2100 2274 1133 NA NA NA NA 2131 3928 1674 NA NA NA
1566079200.0 1336.0 NA 174 335 0 NA NA NA NA 541 628 0 NA NA NA NA 1787 3322 829 NA NA NA NA 1897 3066 1003 NA NA NA
1566079200.0 1337.0 NA 174 322 0 NA NA NA NA 557 626 0 NA NA NA NA 1735 3041 910 NA NA NA NA 1330 2581 1070 NA NA NA
